Weighted.Score,Food.Insecure.Percentage,NTA,NTA.Name,Sg Abv Ca,Unemployment.Rate,Food.Insecure.Percentage Rank,Geometry,Rank,sg abv ca Rank,Unemployment.Rate Rank,Unemployment.Rate.Perc,
7.48968,25.34%,MN1101,East Harlem (South),"950,307.50",981.20%,26,MultiPolygon,17,24,38,9.81%,
5.90884,26.68%,MN1102,East Harlem (North),"-355,884.80",1055.74%,19,MultiPolygon,121,147,30,10.56%,
8.91946,26.78%,MN1201,Washington Heights (South),"1,628,949.20",1417.65%,18,MultiPolygon,1,4,9,14.18%,
7.47395,20.15%,MN1202,Washington Heights (North),"685,258.40",1196.63%,59,MultiPolygon,18,47,22,11.97%,
5.2335,20.37%,MN1203,Inwood,"-677,676.40",826.18%,55,MultiPolygon,158,163,72,8.26%,
7.3455,15.95%,QN0101,Astoria (North)-Ditmars-Steinway,"1,231,612.60",744.76%,105,MultiPolygon,22,10,95,7.45%,
5.94775,19.98%,QN0102,Old Astoria-Hallets Point,"144,727.50",757.32%,61,MultiPolygon,114,108,88,7.57%,
6.96581,16.07%,QN0103,Astoria (Central),"998,214.80",647.96%,101,MultiPolygon,38,21,122,6.48%,
6.70947,17.00%,QN0104,Astoria (East)-Woodside (North),"672,033.80",805.49%,87,MultiPolygon,52,52,76,8.05%,
1.78837,21.01%,QN0105,Queensbridge-Ravenswood-Dutch Kills,"-3,573,891.30",847.32%,45,MultiPolygon,197,196,65,8.47%,
5.44447,12.92%,QN0201,Long Island City-Hunters Point,"-207,956.20",469.89%,155,MultiPolygon,151,136,173,4.70%,
5.34386,15.91%,QN0202,Sunnyside,"-499,470.90",644.19%,107,MultiPolygon,154,154,125,6.44%,
4.72618,13.52%,QN0203,Woodside,"-700,613.90",457.26%,143,MultiPolygon,175,164,176,4.57%,
8.3709,17.64%,QN0301,Jackson Heights,"1,682,791.80",885.63%,82,MultiPolygon,4,3,56,8.86%,
5.55546,14.51%,QN0302,East Elmhurst,"-233,424.40",596.99%,126,MultiPolygon,143,141,134,5.97%,
6.1045,16.79%,QN0303,North Corona,"215,846.80",436.78%,93,MultiPolygon,94,100,181,4.37%,
7.51178,15.70%,QN0401,Elmhurst,"1,199,304.10",540.26%,113,MultiPolygon,16,11,149,5.40%,
7.90299,19.83%,QN0402,Corona,"1,328,334.30",700.81%,62,MultiPolygon,11,7,110,7.01%,
6.66557,14.80%,QN0501,Maspeth,"741,803.90",667.53%,122,MultiPolygon,53,42,120,6.68%,
7.05062,16.81%,QN0502,Ridgewood,"933,076.50",708.66%,92,MultiPolygon,35,26,106,7.09%,
5.7553,12.85%,QN0503,Glendale,"191,608.30",508.05%,156,MultiPolygon,131,103,164,5.08%,
4.80326,12.30%,QN0504,Middle Village,"-483,885.70",424.94%,167,MultiPolygon,171,153,184,4.25%,
6.29572,15.73%,QN0601,Rego Park,"545,695.40",584.01%,111,MultiPolygon,78,62,137,5.84%,
6.08351,13.17%,QN0602,Forest Hills,"400,747.30",432.55%,152,MultiPolygon,96,79,182,4.33%,
6.86672,14.84%,QN0701,College Point,"680,590.20",943.97%,120,MultiPolygon,40,49,44,9.44%,
6.66191,13.26%,QN0702,Whitestone-Beechhurst,"610,427.20",871.11%,150,MultiPolygon,54,57,60,8.71%,
6.11844,12.42%,QN0703,Bay Terrace-Clearview,"466,270.70",531.71%,164,MultiPolygon,92,71,156,5.32%,
7.11644,15.71%,QN0704,Murray Hill-Broadway Flushing,"1,141,938.90",521.41%,112,MultiPolygon,31,14,158,5.21%,
5.98743,17.44%,QN0705,East Flushing,"168,863.90",709.29%,84,MultiPolygon,110,106,103,7.09%,
6.02045,14.79%,QN0706,Queensboro Hill,"363,838.10",540.08%,123,MultiPolygon,105,83,150,5.40%,
7.13226,20.93%,QN0707,Flushing-Willets Point,"848,259.80",775.10%,48,MultiPolygon,29,29,85,7.75%,
5.0675,13.90%,QN0801,Kew Gardens Hills,"-432,982.80",616.41%,135,MultiPolygon,164,151,130,6.16%,
5.92015,16.00%,QN0802,Pomonok-Electchester-Hillcrest,"116,150.40",752.94%,104,MultiPolygon,119,113,91,7.53%,
5.90963,12.04%,QN0803,Fresh Meadows-Utopia,"385,055.80",432.36%,174,MultiPolygon,120,81,183,4.32%,
6.40405,13.52%,QN0804,Jamaica Estates-Holliswood,"308,644.00",778.43%,144,MultiPolygon,67,90,83,7.78%,
6.2173,16.87%,QN0805,Jamaica Hills-Briarwood,"-42,632.50",980.54%,90,MultiPolygon,86,123,39,9.81%,
5.83076,13.84%,QN0901,Kew Gardens,"169,984.40",616.57%,137,MultiPolygon,126,105,129,6.17%,
2.33964,14.32%,QN0902,Richmond Hill,"-2,582,926.10",602.99%,128,MultiPolygon,193,188,132,6.03%,
