Ntacode,Ntaname,Food Insecurity Rate_2018,Food Insecurity Rate_2018_rank,Adj Weighted Score,December 2020 unemployment rate 2018,December 2020 unemployment rate_2018_rank,NP Rank 2018,Supply gap above City average (pounds) 2018,Supply gap above City average (pounds)_2018_rank,Vulnerable populations %,Vulnerable populations %_rank
QN45,Douglas Manor-Douglaston-Little Neck,6.71%,188,6.53,8.27%,146,128,"239,371",103,43.68%,37
QN46,Bayside-Bayside Hills,7.89%,175,6.98,8.73%,134,69,"691,141",43,41.30%,67
QN47,Ft. Totten-Bay Terrace-Clearview,7.97%,173,6.61,7.74%,158,117,"368,361",83,47.41%,15
QN48,Auburndale,7.43%,183,6.67,9.37%,115,108,"311,055",93,39.73%,93
QN49,Whitestone,7.44%,182,6.81,8.45%,141,84,"484,421",67,47.90%,12
QN50,Elmhurst-Maspeth,9.81%,150,6.66,9.02%,128,111,"298,824",94,40.33%,83
QN51,Murray Hill,11.58%,117,4.10,9.19%,123,185,"-3,332,598",192,43.53%,40
QN52,East Flushing,11.64%,113,5.00,9.68%,109,183,"-1,996,686",183,40.57%,78
QN53,Woodhaven,10.04%,144,6.53,12.23%,70,127,"-720,112",162,40.02%,87
QN54,Richmond Hill,11.76%,112,3.58,13.02%,59,187,"-4,767,418",194,39.80%,92
QN55,South Ozone Park,11.43%,120,7.90,15.02%,37,19,"774,314",40,36.10%,141
QN56,Ozone Park,10.89%,127,6.90,12.23%,69,75,"291,265",96,35.14%,150
QN57,Lindenwood-Howard Beach,10.81%,130,7.03,10.76%,94,65,"614,857",50,42.47%,50
QN60,Kew Gardens,10.36%,140,6.12,8.02%,154,158,"-586,187",157,41.07%,69
QN61,Jamaica,15.17%,72,5.61,15.25%,33,176,"-2,217,663",185,41.00%,70
QN62,Queensboro Hill,10.85%,129,6.73,10.87%,89,99,"204,300",108,43.14%,42
QN63,Woodside,9.35%,153,7.12,9.61%,113,59,"701,016",42,41.94%,56
QN66,Laurelton,7.72%,177,6.03,11.10%,82,163,"-738,241",164,39.99%,88
QN68,Queensbridge-Ravenswood-Long Island City,22.61%,21,5.65,16.07%,26,175,"-2,100,381",184,32.12%,164
QN70,Astoria,13.01%,98,7.44,9.22%,122,39,"1,184,670",16,29.53%,174
QN71,Old Astoria,14.64%,82,6.84,9.97%,106,78,"469,729",69,34.91%,154
QN72,Steinway,10.43%,137,7.02,8.20%,148,67,"838,586",34,30.66%,171
QN76,Baisley Park,11.63%,114,6.20,14.75%,41,154,"-1,004,185",171,38.74%,103
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,6.66%,189,6.46,7.43%,162,135,"247,194",102,38.51%,109
SI05,New Springville-Bloomfield-Travis,8.18%,168,6.83,8.60%,135,81,"589,914",55,38.72%,104
SI07,Westerleigh,7.59%,181,6.57,8.86%,133,120,"237,963",105,40.65%,76
SI08,Grymes Hill-Clifton-Fox Hills,14.98%,76,6.06,10.61%,97,160,"-637,201",160,39.16%,99
SI11,Charleston-Richmond Valley-Tottenville,6.22%,191,6.50,7.67%,160,130,"275,401",97,38.69%,105
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,12.03%,107,6.56,9.51%,114,123,"127,112",119,37.21%,128
SI14,Grasmere-Arrochar-Ft. Wadsworth,12.22%,104,6.61,10.14%,102,116,"145,192",116,36.81%,134
SI22,West New Brighton-New Brighton-St. George,15.13%,74,6.92,10.74%,95,73,"153,867",115,42.99%,45
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,7.67%,179,6.29,8.28%,145,150,"-70,163",132,39.81%,91
SI25,Oakwood-Oakwood Beach,8.63%,160,6.71,9.35%,117,102,"359,571",84,40.65%,77
SI28,Port Richmond,9.06%,156,5.85,9.94%,107,170,"-855,360",167,37.09%,132
SI32,Rossville-Woodrow,7.11%,186,6.43,7.03%,166,138,"247,943",101,36.15%,140
SI35,New Brighton-Silver Lake,10.05%,143,6.48,8.03%,153,133,"208,591",107,43.08%,43
SI36,Old Town-Dongan Hills-South Beach,9.71%,151,6.68,9.29%,119,107,"335,242",86,34.79%,155
SI37,Stapleton-Rosebank,15.54%,69,5.91,10.06%,105,167,"-1,078,755",173,40.40%,82
SI45,New Dorp-Midland Beach,9.32%,154,6.66,8.53%,140,110,"396,895",78,38.46%,111
SI48,Arden Heights,6.08%,192,6.60,8.33%,143,118,"333,803",87,36.46%,138
SI54,Great Kills,7.61%,180,6.81,8.89%,131,86,"530,677",62,38.82%,101
